KPI_1,KPI_4,KPI_5,KPI_6,KPI_9,KPI_10,KPI_11,KPI_12,KPI_15,KPI_16
0.014,891716.023,80310.807,10752.100,25239.000,0.000,0.000,6.000,891.716,80.311
0.004,499996.105,164022.308,12931.867,16503.000,0.000,0.000,9.000,499.996,164.022
0.023,3880918.026,163237.678,24904.979,8779.000,0.000,0.000,6.000,3880.918,163.238
0.237,16590406.653,997932.065,14240.150,20490.000,0.000,0.000,25.000,16590.407,997.932
0.114,9744584.192,667873.987,13571.350,20831.000,0.000,0.000,17.000,9744.584,667.874
0.122,13087999.216,605724.865,15641.004,24477.000,0.000,0.000,17.000,13087.999,605.725
0.180,39230947.092,4806983.571,35052.489,62244.000,0.000,0.000,36.000,39230.947,4806.984
0.090,14439389.318,998129.713,32225.691,47800.000,0.000,0.000,17.000,14439.389,998.130
0.063,12343525.414,593283.420,38213.918,64280.000,0.000,0.000,18.000,12343.525,593.283
0.119,7747911.369,478598.211,12909.087,27947.000,0.000,0.000,22.000,7747.911,478.598
0.083,8576671.018,768687.013,18107.675,25113.000,0.000,0.000,15.000,8576.671,768.687
0.163,20454712.167,587116.549,21458.830,26594.000,0.000,0.000,17.000,20454.712,587.117
0.242,22795676.353,2397035.626,19353.781,27198.000,0.000,0.000,37.000,22795.676,2397.036
0.084,5252704.239,1559810.907,12936.763,24413.000,0.000,0.000,24.000,5252.704,1559.811
0.009,449446.842,74101.644,7983.637,25107.000,0.000,0.000,7.000,449.447,74.102
0.082,3652833.392,898862.678,9680.172,28612.000,0.000,0.000,21.000,3652.833,898.863
0.151,14196635.854,1907837.954,15254.536,20400.000,0.000,0.000,17.000,14196.636,1907.838
0.119,8273355.679,831267.438,13259.473,28179.000,0.000,0.000,41.000,8273.356,831.267
0.027,4711636.789,843085.475,22770.881,46867.000,0.000,0.000,12.000,4711.637,843.085
0.001,275860.436,71425.090,25526.384,28564.000,0.000,0.000,3.000,275.860,71.425
0.079,3993089.433,349094.278,10746.978,17497.000,0.000,0.000,15.000,3993.089,349.094
0.075,3399897.781,362856.760,9924.738,17239.000,0.000,0.000,13.000,3399.898,362.857
0.014,810547.575,95009.481,13128.589,16302.000,0.000,0.000,8.000,810.548,95.009
0.036,9752060.122,460123.862,30068.106,39301.000,0.000,0.000,9.000,9752.060,460.124
0.170,19445588.533,1269921.385,26866.271,42004.000,0.000,0.000,27.000,19445.589,1269.921
0.033,2708316.548,291302.832,15322.877,20801.000,0.000,0.000,10.000,2708.317,291.303
0.068,8693729.348,542692.196,19336.968,20003.000,0.000,0.000,15.000,8693.729,542.692
0.355,29347076.231,2048805.590,17418.997,22404.000,0.000,0.000,32.000,29347.076,2048.806
0.012,1603291.441,223912.981,22270.218,45204.000,0.000,0.000,10.000,1603.291,223.913
0.066,8227836.718,1597778.868,25739.106,39384.000,0.000,0.000,16.000,8227.837,1597.779
0.044,6640935.202,857346.028,27863.431,36676.000,0.000,0.000,11.000,6640.935,857.346
0.005,390391.045,57387.604,15909.247,39289.000,0.000,0.000,6.000,390.391,57.388
0.024,4109415.650,400947.680,29275.702,26426.000,0.000,0.000,11.000,4109.416,400.948
0.013,1368713.514,155725.344,22170.876,25656.000,0.000,0.000,7.000,1368.714,155.725
0.227,29665543.965,1470628.362,15555.775,25803.000,0.000,0.000,17.000,29665.544,1470.628
0.141,4772255.522,1054668.263,9314.703,20912.000,0.000,0.000,16.000,4772.256,1054.668
0.080,7314350.197,445954.039,14311.605,12934.000,0.000,0.000,16.000,7314.350,445.954
0.507,75886666.848,4263463.095,24138.702,18753.000,0.000,0.000,43.000,75886.667,4263.463
0.273,22225207.450,1323485.979,16515.064,20052.000,0.000,0.000,30.000,22225.207,1323.486
0.305,40505361.341,1616779.695,23696.069,20881.000,0.000,0.000,25.000,40505.361,1616.780
0.170,11673137.629,1140034.572,15147.164,28049.000,0.000,0.000,25.000,11673.138,1140.035
0.304,37858673.231,4490361.223,22279.789,25558.000,0.000,0.000,29.000,37858.673,4490.361
0.095,3442961.442,4022533.582,5588.674,21094.000,0.000,0.000,22.000,3442.961,4022.534
0.199,45421841.320,2965906.157,32097.091,47109.000,0.000,0.000,28.000,45421.841,2965.906
0.064,3739832.188,623668.364,18106.403,29265.000,0.000,0.000,11.000,3739.832,623.668
0.288,50045082.359,1792043.144,40676.745,39046.000,0.000,0.000,22.000,50045.082,1792.043
0.310,25902314.370,1692737.708,16816.491,16652.000,0.000,0.000,29.000,25902.314,1692.738
0.250,13537631.828,1026053.474,11839.673,20885.000,0.000,0.000,22.000,13537.632,1026.053
0.429,45410162.358,1759010.426,17147.111,14073.000,0.000,0.000,22.000,45410.162,1759.010
0.666,29258988.191,2702426.817,8956.692,20437.000,0.000,0.000,39.000,29258.988,2702.427
0.761,31613073.744,3347367.621,10756.787,23276.000,0.000,0.000,40.000,31613.074,3347.368
0.475,18078520.505,1491354.367,8753.938,27324.000,0.000,0.000,39.000,18078.521,1491.354
0.225,10189598.473,655598.944,11735.289,20710.000,0.000,0.000,18.000,10189.598,655.599
0.500,40444947.817,18554068.072,12370.305,20314.000,0.000,0.000,30.000,40444.948,18554.068
0.265,4737681.295,1096246.195,6308.902,12408.000,0.000,0.000,14.000,4737.681,1096.246
0.391,17648060.936,1358925.081,8644.528,21069.000,0.000,0.000,22.000,17648.061,1358.925
0.486,15368604.969,1042990.868,9462.512,17534.000,0.000,0.000,46.000,15368.605,1042.991
0.121,4029971.497,497476.983,8556.923,21077.000,0.000,0.000,14.000,4029.971,497.477
0.886,55091657.619,3282481.261,16708.711,25061.000,0.000,0.000,53.000,55091.658,3282.481
0.017,894291.599,53961.835,9199.265,4006.000,0.000,0.000,6.000,894.292,53.962
0.199,18856842.822,1305715.961,13685.935,20735.000,0.000,0.000,15.000,18856.843,1305.716
0.224,13368504.941,1607378.888,11808.593,19353.000,0.000,0.000,32.000,13368.505,1607.379
2.108,94308547.639,6165501.720,15291.617,13971.000,0.000,0.000,57.000,94308.548,6165.502
0.500,15876672.477,1358767.931,8570.018,20701.000,0.000,0.000,42.000,15876.672,1358.768
0.130,14176404.343,815114.459,19332.273,20733.000,0.000,0.000,18.000,14176.404,815.114
0.078,5487012.610,575640.960,12031.359,11802.000,0.000,0.000,21.000,5487.013,575.641
0.214,35117336.610,4940223.077,22245.065,20947.000,0.000,0.000,14.000,35117.337,4940.223
1.131,114375815.510,5703624.716,26643.366,26564.000,0.000,0.000,59.000,114375.816,5703.625
0.044,1562281.102,268585.115,11149.286,20770.000,0.000,0.000,12.000,1562.281,268.585
0.443,35991219.265,1679006.698,16451.769,20447.000,0.000,0.000,23.000,35991.219,1679.007
0.943,55086180.716,4227430.146,13984.264,25602.000,0.000,0.000,54.000,55086.181,4227.430
0.322,24796264.378,1264442.942,16713.208,20850.000,0.000,0.000,31.000,24796.264,1264.443
0.264,21319221.754,922933.704,14661.194,21130.000,0.000,0.000,25.000,21319.222,922.934
0.373,27344022.431,2234031.182,14278.704,20577.000,0.000,0.000,33.000,27344.022,2234.031
0.054,2569412.926,428988.190,7923.537,13227.000,0.000,0.000,11.000,2569.413,428.988
0.113,9941948.141,590770.007,11392.539,20329.000,0.000,0.000,11.000,9941.948,590.770
0.092,16180848.414,554312.592,22185.988,17143.000,0.000,0.000,13.000,16180.848,554.313
0.133,38605164.147,1212537.698,49069.927,31098.000,0.000,0.000,30.000,38605.164,1212.538
0.011,4173085.109,110137.462,18905.290,38534.000,0.000,0.000,4.000,4173.085,110.137
0.108,9621394.221,953944.620,24404.390,49094.000,0.000,0.000,26.000,9621.394,953.945
0.354,72829719.282,4279279.794,38469.141,43991.000,0.000,0.000,41.000,72829.719,4279.280
0.180,21108178.054,1423125.883,29726.714,50288.000,0.000,0.000,31.000,21108.178,1423.126
0.900,80028942.803,4420138.505,23354.629,26252.000,0.000,0.000,57.000,80028.943,4420.139
0.281,19133453.313,1248715.350,20325.844,20868.000,0.000,0.000,28.000,19133.453,1248.715
0.102,5481496.362,384588.451,17634.619,20829.000,0.000,0.000,16.000,5481.496,384.588
0.425,20570271.500,1465829.920,9458.463,20846.000,0.000,0.000,33.000,20570.272,1465.830
0.019,921419.144,45330.140,8459.867,7034.000,0.000,0.000,6.000,921.419,45.330
0.045,2629508.913,531064.462,8626.195,20828.000,0.000,0.000,11.000,2629.509,531.064
0.155,5085033.460,1005254.607,8307.022,16728.000,0.000,0.000,13.000,5085.033,1005.255
0.517,31138449.262,1514144.309,9835.708,20999.000,0.000,0.000,31.000,31138.449,1514.144
0.206,15100243.115,765512.175,17911.782,21017.000,0.000,0.000,25.000,15100.243,765.512
0.189,10234304.317,1020747.532,11362.269,16447.000,0.000,0.000,29.000,10234.304,1020.748
0.100,6839220.419,676094.927,11784.161,18907.000,0.000,0.000,13.000,6839.220,676.095
0.632,40873341.514,2863574.463,12738.731,27885.000,0.000,0.000,34.000,40873.342,2863.574
0.031,1628230.468,104455.671,12462.966,7888.000,0.000,0.000,8.000,1628.230,104.456
0.012,539146.403,99446.323,10026.294,17051.000,0.000,0.000,6.000,539.146,99.446
0.034,1772113.859,218284.861,10523.780,14499.000,0.000,0.000,10.000,1772.114,218.285
0.181,7874791.030,359486.862,6306.553,7253.000,0.000,0.000,12.000,7874.791,359.487
0.592,55933597.299,2590148.906,17633.719,28386.000,0.000,0.000,29.000,55933.597,2590.149
0.241,17292051.470,1131867.538,12399.977,20701.000,0.000,0.000,33.000,17292.051,1131.868
0.212,13248512.815,575924.961,10335.871,20668.000,0.000,0.000,14.000,13248.513,575.925
0.202,15712630.097,1144802.600,13887.437,20845.000,0.000,0.000,38.000,15712.630,1144.803
0.225,21519942.778,1217013.846,15512.544,16400.000,0.000,0.000,21.000,21519.943,1217.014
0.150,6831220.922,509201.614,10666.845,16029.000,0.000,0.000,31.000,6831.221,509.202
0.333,15260398.321,1789087.418,13204.012,26490.000,0.000,0.000,31.000,15260.398,1789.087
0.229,12498226.633,898420.828,11784.580,20690.000,0.000,0.000,29.000,12498.227,898.421
0.103,15204005.456,840845.882,22457.434,34771.000,0.000,0.000,20.000,15204.005,840.846
0.101,11197355.085,863938.765,22632.824,38775.000,0.000,0.000,22.000,11197.355,863.939
0.047,3552315.851,299212.203,18288.953,45814.000,0.000,0.000,18.000,3552.316,299.212
0.117,10904133.249,465751.989,21487.231,20486.000,0.000,0.000,20.000,10904.133,465.752
0.235,20441202.395,1403374.951,19722.633,28770.000,0.000,0.000,27.000,20441.202,1403.375
0.248,19744072.727,1483867.022,16707.789,27563.000,0.000,0.000,30.000,19744.073,1483.867
0.161,7287290.105,996056.827,11346.196,20511.000,0.000,0.000,27.000,7287.290,996.057
0.027,2469946.572,381470.151,17398.661,28557.000,0.000,0.000,9.000,2469.947,381.470
0.040,2432430.836,248526.045,13585.527,25640.000,0.000,0.000,14.000,2432.431,248.526
