DATE,ID_0048TE-ID_0048T11#KPI_1,ID_1574AE-ID_1574A11#KPI_1,ID_1574AE-ID_1574A11#KPI_10,ID_0048TE-ID_0048T11#KPI_12,ID_1574AE-ID_1574A11#KPI_12,ID_0048TE-ID_0048T11#KPI_15,ID_1574AE-ID_1574A11#KPI_15,ID_0048TE-ID_0048T11#KPI_4,ID_1574AE-ID_1574A11#KPI_4
17-09-2018,0.171,,,19,,25571.675,,25571675.21,
18-09-2018,0.118,,,19,,16938.812,,16938811.51,
19-09-2018,0.115,,,19,,16216.239,,16216238.58,
20-09-2018,0.173,,,18,,28437.271,,28437270.76,
21-09-2018,0.111,,,17,,15639.23,,15639230.23,
22-09-2018,0.078,,,17,,3991.346,,3991346.205,
23-09-2018,0.302,,,19,,24634.43,,24634429.76,
24-09-2018,0.154,,,19,,8155.063,,8155063.317,
25-09-2018,0.201,,,19,,13728.051,,13728050.86,
26-09-2018,0.148,,,19,,23384.883,,23384883.23,
27-09-2018,0.125,,,20,,21865.352,,21865352.45,
28-09-2018,0.137,,,18,,13898.157,,13898156.88,
29-09-2018,0.154,,,25,,28736.984,,28736983.61,
30-09-2018,0.145,,,21,,24970.921,,24970921.03,
01-10-2018,0.132,,,20,,11945.437,,11945437.3,
02-10-2018,0.129,,,15,,14717.106,,14717106.28,
03-10-2018,0.108,,,22,,14161.275,,14161275.2,
04-10-2018,0.151,,,20,,23723.953,,23723953.46,
05-10-2018,0.207,,,19,,29207.539,,29207538.7,
06-10-2018,0.139,,,25,,23804.437,,23804437.02,
07-10-2018,0.167,,,20,,29844.914,,29844914.25,
08-10-2018,0.169,,,17,,16325.446,,16325445.65,
09-10-2018,0.116,,,18,,15760.426,,15760425.56,
10-10-2018,0.163,,,18,,21095.453,,21095453.07,
11-10-2018,0.192,,,21,,29827.292,,29827292.27,
12-10-2018,0.202,,,20,,26453.384,,26453383.69,
13-10-2018,0.178,,,21,,36313.977,,36313976.88,
14-10-2018,0.202,,,21,,35010.577,,35010576.9,
15-10-2018,0.19,,,24,0,11970.971,,11970970.59,
16-10-2018,0.135,1.19,0,18,62,20901.785,153225.275,20901785.21,153225274.7
17-10-2018,0.129,0.778,0,20,50,12089.818,181574.766,12089817.9,181574765.9
18-10-2018,0.124,0.757,0,21,50,16525.296,173610.73,16525296.09,173610730.4
19-10-2018,0.153,0.61,0,22,47,17412.99,154205.964,17412989.95,154205964.4
20-10-2018,0.218,0.337,0,35,37,24592.368,87466.639,24592368.41,87466639.14
21-10-2018,0.127,0.256,0,18,39,16700.19,49184.903,16700190.42,49184903.15
22-10-2018,0.152,0.155,0,17,22,13228.002,15851.962,13228002.07,15851961.9
23-10-2018,0.2,0.151,0,19,18,27849.731,22617.266,27849731.39,22617265.78
24-10-2018,0.174,0.141,0,17,19,16974.452,13440.641,16974451.52,13440641.2
25-10-2018,0.142,0.115,0,18,18,18373.146,15450.634,18373145.61,15450633.78
26-10-2018,0.256,0.117,0,22,20,29351.421,17675.423,29351420.94,17675423.23
27-10-2018,0.236,0.105,0,22,19,37198.357,23023.404,37198356.7,23023403.78
28-10-2018,0.271,0.122,0,25,21,54665.477,23024.547,54665476.62,23024546.85
29-10-2018,0.145,0.142,0,18,17,18832.534,30298.042,18832534.19,30298042.32
30-10-2018,0.216,0.164,0,20,21,21923.236,12483.245,21923235.99,12483245.25
31-10-2018,0.225,0.163,0,17,21,32240.791,23325.689,32240790.87,23325688.55
01-11-2018,0.255,0.195,0,19,23,61751.961,41567.599,61751960.71,41567599.27
02-11-2018,0.206,0.191,0,24,20,48331.377,22183.052,48331377.25,22183052.39
03-11-2018,0.237,0.162,0,21,23,55475.378,29591.852,55475377.98,29591852.41
04-11-2018,0.181,0.178,0,21,20,46914.584,30953.371,46914583.55,30953371.35
05-11-2018,0.169,0.19,0,17,17,20448.39,18289.705,20448389.5,18289704.84
06-11-2018,0.245,0.179,0,20,19,30254.701,26973.028,30254700.6,26973028.39
07-11-2018,0.217,0.181,0,19,20,60849.8,29946.917,60849799.89,29946917.25
08-11-2018,0.224,0.158,0,19,19,39491.353,23670.349,39491353,23670349.19
09-11-2018,0.231,0.212,0,19,18,50859.075,36484.391,50859075.06,36484391.37
10-11-2018,0.224,0.202,0,21,20,69723.755,44335.637,69723755.49,44335637.24
11-11-2018,0.265,0.23,0,20,19,60010.971,47019.918,60010970.74,47019918.24
12-11-2018,0.223,0.238,0,19,20,68574.409,35553.251,68574409.19,35553250.62
13-11-2018,0.255,0.195,0,18,21,28743.454,28069.43,28743454.26,28069430.27
14-11-2018,0.199,0.283,0,22,19,32762.424,33430.291,32762423.55,33430291.43
15-11-2018,0.137,0.24,0,18,18,30095.633,24904.664,30095633,24904664
16-11-2018,0.159,0.265,0,20,22,36788.513,35944.424,36788512.52,35944424.46
17-11-2018,0.216,0.241,0,20,23,41063.127,48699.378,41063127.45,48699378.03
18-11-2018,0.266,0.258,0,20,22,59561.015,47825.666,59561015.18,47825665.88
19-11-2018,0.177,0.184,0,20,21,47064.73,20181.099,47064729.99,20181099.41
20-11-2018,0.225,0.169,0,19,20,58650.99,19791.145,58650990.33,19791145.07
21-11-2018,0.279,0.222,0,24,25,51624.82,18618.325,51624819.86,18618325.39
22-11-2018,0.282,0.27,0,19,28,54488.09,20197.397,54488090,20197397.15
23-11-2018,0.274,0.25,0,19,35,100075.237,30784.813,100075237.5,30784812.67
24-11-2018,0.227,0.167,0,19,22,83108.988,18611.229,83108987.8,18611228.65
25-11-2018,0.251,0.172,0,20,25,110362.584,19944.738,110362584.2,19944738.43
26-11-2018,0.156,0.144,0,20,18,27689.386,19181.018,27689385.65,19181018.16
27-11-2018,0.216,0.153,0,21,17,61413.725,15195.687,61413725.15,15195686.64
28-11-2018,0.244,0.148,0,22,16,65658.143,11721.194,65658143.31,11721194.27
29-11-2018,0.195,0.167,0,21,16,71490.726,16506.372,71490726.38,16506372.02
30-11-2018,0.283,0.125,0,20,16,66271.998,13962.345,66271998.12,13962344.92
01-12-2018,0.245,0.134,0,21,19,78879.842,21325.552,78879842.29,21325552.04
02-12-2018,0.221,0.228,0,25,18,83304.29,39086.285,83304289.57,39086285.4
03-12-2018,0.199,0.191,0,19,18,51012.534,28166.565,51012533.56,28166565.17
04-12-2018,0.254,0.202,0,20,20,85153.978,29773.484,85153978.24,29773484.22
05-12-2018,0.219,0.222,0,19,20,51917.94,27571.169,51917939.64,27571168.98
06-12-2018,0.306,0.27,0,19,17,61874.405,43981.416,61874404.8,43981415.69
07-12-2018,0.366,0.234,0,21,17,96178.449,32292.942,96178448.99,32292941.99
08-12-2018,0.352,0.262,0,25,19,117795.807,45908.201,117795807,45908200.93
09-12-2018,0.406,0.231,0,24,21,131850.121,32923.783,131850121.1,32923782.78
10-12-2018,0.282,0.179,0,19,17,72472.576,10135.352,72472576.11,10135351.56
11-12-2018,0.391,0.264,0,23,18,99194.985,14417.016,99194984.64,14417016.17
12-12-2018,0.437,0.251,0,24,19,111344.62,18428.709,111344620.2,18428708.75
13-12-2018,0.411,0.238,0,22,19,115111.649,19484.214,115111649.4,19484213.98
14-12-2018,0.424,0.176,0,23,17,119095.355,19514.465,119095355.1,19514465.07
15-12-2018,0.302,0.126,0,21,20,73814.044,25038.725,73814043.98,25038725.09
16-12-2018,0.277,0.215,0,17,21,77024.556,32382.658,77024555.63,32382657.83
17-12-2018,0.292,0.203,0,18,18,71534.48,15107.551,71534479.54,15107550.58
18-12-2018,0.356,0.289,0,26,17,69552.076,18578.31,69552076.41,18578309.57
19-12-2018,0.279,0.21,0,19,19,74707.928,15307.172,74707928.41,15307171.65
20-12-2018,0.308,0.283,0,18,20,77061.852,20939.052,77061852.13,20939051.94
21-12-2018,0.301,0.161,0,19,19,75288.071,18888.477,75288071.11,18888477.02
22-12-2018,0.204,0.229,0,17,21,56475.076,39343.275,56475075.91,39343274.65
23-12-2018,0.232,0.327,0,19,28,62736.472,57017.387,62736472.26,57017386.57
24-12-2018,0.262,0.251,0,21,28,99968.027,28759.441,99968027.4,28759441.23
25-12-2018,0.246,0.272,0,22,24,67888.174,35369.96,67888174.13,35369960.2
26-12-2018,0.219,0.284,0,19,31,71968.213,50630.88,71968213.15,50630880.27
27-12-2018,0.288,0.275,0,20,22,67875.801,42209.42,67875801.17,42209419.9
28-12-2018,0.267,0.227,0,20,21,66615.034,27440.831,66615033.64,27440830.92
29-12-2018,0.185,0.268,0,22,26,49556.178,34544.161,49556177.98,34544161.42
30-12-2018,0.269,0.35,0,20,23,77067.57,39717.172,77067570.09,39717172.15
31-12-2018,0.229,0.292,0,22,23,71824.721,39318.578,71824720.69,39318578.45
01-01-2019,0.266,0.298,0,19,23,74013.455,40831.235,74013454.98,40831234.75
02-01-2019,0.308,0.285,0,21,21,70302.549,31300.935,70302549.04,31300935.13
03-01-2019,0.268,0.377,0,18,23,73635.042,39930.272,73635042.36,39930271.7
04-01-2019,0.311,0.31,0,20,19,79151.538,38812.634,79151538.48,38812634.27
05-01-2019,0.268,0.231,0,20,23,84885.029,38278.238,84885029.07,38278238.45
06-01-2019,0.191,0.316,0,15,20,61496.646,47624.83,61496645.82,47624830.4
07-01-2019,0.335,0.328,0,18,20,57802.423,33149.283,57802422.92,33149283.05
08-01-2019,0.451,0.261,0,21,19,79397.225,27424.875,79397224.51,27424874.92
09-01-2019,0.311,0.285,0,23,21,70975.898,30744.176,70975898.01,30744175.63
10-01-2019,0.343,0.327,0,20,20,73074.83,49579.371,73074829.58,49579370.74
11-01-2019,0.416,0.332,0,26,20,104158.649,60114.927,104158649.1,60114926.88
12-01-2019,0.316,0.325,0,23,22,97806.82,48436.87,97806820.4,48436870.18
13-01-2019,0.384,0.26,0,24,19,116164.469,28358.067,116164469.5,28358067.3
14-01-2019,0.299,0.194,0,21,17,77717.389,26943.434,77717388.75,26943434.27
15-01-2019,0.348,0.148,0,19,22,90652.397,26706.151,90652397.28,26706151.12
16-01-2019,0.331,0.149,0,19,18,51825.018,18254.812,51825017.55,18254811.51
